order_id,status,order_month,erp_amount_eur,dwh_amount_eur,diff_eur,dwh_rows
SO-00081,MISSING_IN_DWH,2025-04,19512.52,,-19512.52,0
SO-00107,MISSING_IN_DWH,2025-04,8000.59,,-8000.59,0
SO-00119,MISSING_IN_DWH,2025-02,60822.51,,-60822.51,0
SO-00183,MISSING_IN_DWH,2025-02,12678.51,,-12678.51,0
SO-00185,MISSING_IN_DWH,2025-03,13060.17,,-13060.17,0
SO-00187,MISSING_IN_DWH,2025-12,33352.34,,-33352.34,0
SO-00223,MISSING_IN_DWH,2025-04,28424.85,,-28424.85,0
SO-00249,MISSING_IN_DWH,2025-03,24254.3,,-24254.3,0
SO-00279,MISSING_IN_DWH,2025-05,35366.05,,-35366.05,0
SO-00303,MISSING_IN_DWH,2025-07,14872.65,,-14872.65,0
SO-00306,MISSING_IN_DWH,2025-12,8131.83,,-8131.83,0
SO-00309,MISSING_IN_DWH,2025-08,7304.61,,-7304.61,0
SO-00355,MISSING_IN_DWH,2025-07,20375.55,,-20375.55,0
SO-00358,MISSING_IN_DWH,2025-04,24699.57,,-24699.57,0
SO-00390,MISSING_IN_DWH,2025-03,24008.44,,-24008.44,0
SO-00414,MISSING_IN_DWH,2025-07,16911.99,,-16911.99,0
